,preds,Attrition_Flag,Customer_Age,Education_Level,Income_Category,Card_Category,Credit_Limit,Avg_Utilization_Ratio,Gender
1289,1,Existing Customer,34,High School,$120K +,Blue,23959.0,0.105,M
1290,1,Existing Customer,33,High School,$60K - $80K,Blue,14918.0,0.136,M
1291,1,Existing Customer,38,Uneducated,Less than $40K,Blue,3590.0,0.536,F
1292,1,Existing Customer,65,Graduate,$40K - $60K,Blue,2297.0,0.0,M
1293,1,Existing Customer,57,High School,$80K - $120K,Blue,25058.0,0.068,M
1294,0,Attrited Customer,58,High School,Less than $40K,Blue,7418.0,0.053,F
1298,1,Existing Customer,39,High School,Less than $40K,Blue,1578.0,0.48200000000000004,F
1299,1,Existing Customer,60,Uneducated,Less than $40K,Blue,2094.0,0.745,M
1300,1,Existing Customer,37,High School,Less than $40K,Blue,4138.0,0.0,F
1302,1,Existing Customer,56,Uneducated,$120K +,Blue,34516.0,0.03,M
1303,1,Existing Customer,60,High School,$60K - $80K,Blue,9592.0,0.205,M
1304,1,Existing Customer,56,High School,Less than $40K,Blue,8881.0,0.242,F
1305,1,Existing Customer,62,College,$40K - $60K,Blue,1438.3,0.0,M
1306,1,Existing Customer,41,Uneducated,Less than $40K,Blue,3893.0,0.297,F
1308,1,Existing Customer,59,Graduate,$40K - $60K,Blue,6035.0,0.231,M
1310,1,Existing Customer,26,High School,$60K - $80K,Blue,4327.0,0.0,M
1311,0,Attrited Customer,40,Graduate,$80K - $120K,Silver,34516.0,0.0,M
1314,1,Existing Customer,37,High School,$60K - $80K,Blue,10320.0,0.174,M
1315,1,Existing Customer,65,Graduate,Less than $40K,Blue,3297.0,0.6970000000000001,F
1316,1,Existing Customer,46,College,$60K - $80K,Blue,9981.0,0.081,M
1317,1,Existing Customer,53,High School,$120K +,Blue,3329.0,0.32799999999999996,M
1318,1,Existing Customer,56,Uneducated,Less than $40K,Blue,5991.0,0.33299999999999996,F
1319,1,Existing Customer,48,Graduate,$40K - $60K,Blue,3235.0,0.778,M
1320,1,Existing Customer,34,High School,$120K +,Blue,6259.0,0.17,M
1321,1,Existing Customer,65,Graduate,Less than $40K,Blue,2541.0,0.636,M
1322,1,Existing Customer,55,Post-Graduate,$80K - $120K,Blue,21351.0,0.11800000000000001,M
1325,1,Existing Customer,54,High School,$120K +,Blue,20311.0,0.081,M
1326,1,Existing Customer,52,High School,$60K - $80K,Silver,33182.0,0.06,M
1327,1,Existing Customer,36,Uneducated,$60K - $80K,Blue,1686.0,0.743,M
1328,0,Attrited Customer,56,Graduate,$60K - $80K,Blue,4742.0,0.18,M
1329,1,Existing Customer,33,Graduate,$60K - $80K,Blue,1726.0,0.7040000000000001,M
1330,1,Existing Customer,61,Graduate,$80K - $120K,Blue,8420.0,0.165,M
1331,1,Existing Customer,61,Graduate,$60K - $80K,Blue,3352.0,0.511,M
1332,1,Existing Customer,43,Uneducated,$40K - $60K,Blue,6648.0,0.337,M
1333,1,Existing Customer,48,College,Less than $40K,Blue,2335.0,0.79,F
1334,1,Existing Customer,36,Graduate,$60K - $80K,Blue,12397.0,0.081,M
1335,1,Existing Customer,34,Uneducated,$40K - $60K,Blue,1438.3,0.49200000000000005,M
1336,1,Existing Customer,53,Graduate,Less than $40K,Blue,2240.0,0.715,F
1338,1,Existing Customer,61,High School,Less than $40K,Blue,1795.0,0.442,F
1339,1,Existing Customer,55,High School,$80K - $120K,Blue,5741.0,0.33,M
1341,1,Existing Customer,38,Graduate,$80K - $120K,Blue,25662.0,0.059000000000000004,M
1342,1,Existing Customer,52,Uneducated,$80K - $120K,Blue,22103.0,0.069,M
1343,1,Existing Customer,36,High School,Less than $40K,Blue,1438.3,0.0,F
1344,0,Attrited Customer,45,High School,$40K - $60K,Blue,12355.0,0.0,F
1345,1,Existing Customer,34,College,$40K - $60K,Blue,2000.0,0.0,F
1346,1,Existing Customer,27,Graduate,$120K +,Blue,8713.0,0.155,M
1348,1,Existing Customer,43,Graduate,Less than $40K,Silver,11583.0,0.054000000000000006,F
1349,1,Existing Customer,52,Graduate,$80K - $120K,Blue,1438.3,0.488,M
1351,0,Attrited Customer,40,Uneducated,$80K - $120K,Blue,3616.0,0.318,M
1353,1,Existing Customer,45,Graduate,$60K - $80K,Blue,9791.0,0.134,M
1354,1,Existing Customer,37,Graduate,Less than $40K,Blue,8444.0,0.23,F
1355,1,Existing Customer,49,Graduate,Less than $40K,Blue,2228.0,0.45,F
1356,1,Attrited Customer,56,Graduate,$120K +,Blue,12211.0,0.0,M
1357,1,Existing Customer,62,High School,Less than $40K,Blue,1438.3,0.0,F
1358,1,Existing Customer,37,High School,$40K - $60K,Blue,1586.0,0.654,F
1359,1,Existing Customer,42,High School,$40K - $60K,Blue,2247.0,0.465,M
1360,1,Existing Customer,36,Graduate,$60K - $80K,Blue,2789.0,0.568,M
1361,1,Existing Customer,59,Graduate,$40K - $60K,Blue,4241.0,0.0,M
1363,1,Existing Customer,43,High School,$40K - $60K,Blue,4112.0,0.187,M
1364,1,Existing Customer,29,Graduate,$40K - $60K,Silver,15578.0,0.08900000000000001,M
1365,1,Existing Customer,42,Graduate,$40K - $60K,Blue,4008.0,0.408,F
1367,1,Existing Customer,36,Post-Graduate,Less than $40K,Blue,3438.0,0.32799999999999996,F
1368,1,Existing Customer,53,High School,$80K - $120K,Blue,16692.0,0.147,M
1369,1,Existing Customer,36,Uneducated,Less than $40K,Blue,4066.0,0.40299999999999997,F
1371,1,Existing Customer,26,College,Less than $40K,Blue,1934.0,0.5529999999999999,M
1373,1,Existing Customer,55,Graduate,Less than $40K,Blue,3615.0,0.47,F
1375,1,Existing Customer,26,Uneducated,Less than $40K,Blue,2665.0,0.588,M
1376,1,Existing Customer,40,Graduate,$60K - $80K,Silver,28822.0,0.087,M
1377,1,Existing Customer,38,Graduate,$40K - $60K,Blue,14632.0,0.079,M
1380,1,Existing Customer,52,Graduate,$40K - $60K,Blue,3360.0,0.363,F
1381,1,Existing Customer,29,Graduate,$80K - $120K,Blue,14853.0,0.0,M
1382,1,Existing Customer,38,Graduate,$60K - $80K,Blue,4800.0,0.252,M
1384,1,Existing Customer,46,High School,Less than $40K,Blue,1438.3,0.682,F
1385,1,Existing Customer,57,Uneducated,$60K - $80K,Blue,8377.0,0.145,M
1386,1,Existing Customer,42,High School,$80K - $120K,Blue,4147.0,0.415,M
1387,1,Existing Customer,62,Post-Graduate,$40K - $60K,Blue,2644.0,0.835,F
1390,1,Existing Customer,35,High School,$40K - $60K,Blue,2100.0,0.452,M
1393,1,Existing Customer,39,Graduate,$60K - $80K,Blue,13003.0,0.0,M
1394,1,Existing Customer,64,College,Less than $40K,Blue,2492.0,0.5710000000000001,M
1395,1,Existing Customer,37,Graduate,Less than $40K,Blue,1758.0,0.6709999999999999,F
1396,1,Existing Customer,34,College,$60K - $80K,Blue,5510.0,0.29100000000000004,M
1397,1,Existing Customer,46,Uneducated,$60K - $80K,Blue,17196.0,0.096,M
1398,1,Existing Customer,65,High School,$40K - $60K,Blue,5877.0,0.289,F
1399,1,Existing Customer,36,Graduate,$60K - $80K,Blue,7667.0,0.0,M
1400,1,Existing Customer,35,College,$40K - $60K,Blue,2939.0,0.635,F
1403,1,Existing Customer,26,Post-Graduate,$40K - $60K,Blue,2773.0,0.75,M
1404,1,Existing Customer,52,Graduate,$60K - $80K,Blue,3323.0,0.695,M
1406,1,Existing Customer,37,High School,$40K - $60K,Blue,3601.0,0.34299999999999997,M
1407,1,Existing Customer,33,Graduate,Less than $40K,Blue,2307.0,0.6,F
1408,1,Existing Customer,59,Uneducated,$60K - $80K,Blue,3742.0,0.314,M
1409,1,Existing Customer,34,High School,$40K - $60K,Blue,2937.0,0.29600000000000004,M
1411,1,Existing Customer,59,Graduate,$60K - $80K,Blue,12554.0,0.17300000000000001,M
1412,1,Existing Customer,50,Graduate,$60K - $80K,Blue,4702.0,0.0,M
1414,1,Existing Customer,32,High School,$60K - $80K,Blue,14308.0,0.132,M
1415,0,Attrited Customer,51,College,$40K - $60K,Blue,4882.0,0.142,F
1416,1,Existing Customer,41,Doctorate,$80K - $120K,Blue,33405.0,0.0,M
1417,1,Existing Customer,39,Graduate,$40K - $60K,Blue,2700.0,0.8220000000000001,F
1418,1,Existing Customer,49,Uneducated,Less than $40K,Blue,2934.0,0.812,F
1421,1,Existing Customer,36,Uneducated,Less than $40K,Blue,5750.0,0.265,F
1422,1,Existing Customer,56,College,$120K +,Blue,27157.0,0.057,M
1423,1,Existing Customer,37,Doctorate,$80K - $120K,Blue,12830.0,0.0,M
1425,1,Existing Customer,36,Uneducated,Less than $40K,Blue,2684.0,0.5489999999999999,F
1426,1,Existing Customer,62,Graduate,$80K - $120K,Blue,2437.0,0.574,M
1427,1,Existing Customer,31,Uneducated,Less than $40K,Blue,3827.0,0.365,F
1428,1,Existing Customer,42,High School,$120K +,Blue,34516.0,0.048,M
1429,1,Existing Customer,38,High School,$60K - $80K,Blue,5940.0,0.185,M
1430,0,Attrited Customer,45,Graduate,$60K - $80K,Blue,13162.0,0.0,M
1431,1,Existing Customer,50,Graduate,Less than $40K,Blue,1963.0,0.691,F
1432,1,Existing Customer,58,Graduate,$80K - $120K,Blue,18713.0,0.055,M
1433,1,Existing Customer,35,High School,$80K - $120K,Blue,3023.0,0.475,M
1434,1,Existing Customer,58,High School,$120K +,Blue,6103.0,0.295,M
1435,1,Existing Customer,42,Graduate,$60K - $80K,Blue,10607.0,0.237,M
1436,1,Existing Customer,32,College,Less than $40K,Blue,2917.0,0.863,F
1437,1,Existing Customer,35,Graduate,$120K +,Blue,34516.0,0.028999999999999998,M
1438,1,Existing Customer,51,Uneducated,$80K - $120K,Blue,25197.0,0.1,M
1439,1,Existing Customer,63,Graduate,Less than $40K,Blue,2743.0,0.662,M
1442,1,Existing Customer,42,Graduate,$40K - $60K,Blue,3178.0,0.5660000000000001,M
1444,1,Existing Customer,38,Graduate,$80K - $120K,Blue,11444.0,0.11199999999999999,M
1445,1,Existing Customer,29,High School,$40K - $60K,Blue,1438.3,0.0,M
1446,1,Existing Customer,54,Uneducated,$40K - $60K,Blue,6387.0,0.25,M
1447,1,Existing Customer,33,Graduate,$40K - $60K,Blue,5657.0,0.317,M
1449,1,Existing Customer,49,Post-Graduate,$60K - $80K,Blue,2608.0,0.609,M
1450,1,Existing Customer,44,Graduate,Less than $40K,Blue,3203.0,0.648,F
1452,1,Existing Customer,57,Uneducated,$80K - $120K,Blue,2472.0,0.9940000000000001,M
1453,1,Existing Customer,52,Uneducated,Less than $40K,Blue,2147.0,0.546,F
1454,1,Existing Customer,52,Graduate,Less than $40K,Blue,3416.0,0.598,F
1458,1,Existing Customer,36,Post-Graduate,$60K - $80K,Blue,1606.0,0.49700000000000005,M
1459,1,Existing Customer,55,Graduate,$120K +,Blue,24336.0,0.035,M
1460,1,Existing Customer,30,Graduate,Less than $40K,Blue,5030.0,0.264,F
1462,1,Existing Customer,26,High School,Less than $40K,Blue,3517.0,0.34,F
1463,1,Existing Customer,48,High School,$40K - $60K,Blue,7400.0,0.086,M
1464,1,Existing Customer,53,Graduate,$40K - $60K,Blue,2956.0,0.47100000000000003,F
1466,0,Attrited Customer,53,Graduate,$120K +,Blue,12778.0,0.04,M
1467,1,Existing Customer,58,Uneducated,Less than $40K,Blue,1942.0,0.7909999999999999,F
1468,1,Existing Customer,32,Graduate,$80K - $120K,Blue,29961.0,0.026000000000000002,M
1469,0,Existing Customer,48,Uneducated,$60K - $80K,Silver,33791.0,0.0,M
1470,1,Existing Customer,48,High School,$40K - $60K,Silver,17657.0,0.114,M
1471,1,Existing Customer,54,College,$120K +,Blue,2821.0,0.856,M
1472,1,Existing Customer,59,High School,Less than $40K,Blue,1479.0,0.532,M
1473,1,Existing Customer,35,Graduate,$60K - $80K,Blue,1438.3,0.0,M
1474,1,Existing Customer,37,Post-Graduate,$40K - $60K,Blue,6859.0,0.257,M
1475,1,Existing Customer,36,High School,$120K +,Blue,3404.0,0.461,M
1476,1,Existing Customer,26,Uneducated,$40K - $60K,Blue,2158.0,0.785,M
1477,0,Attrited Customer,35,Graduate,Less than $40K,Blue,1890.0,0.35200000000000004,F
1478,0,Attrited Customer,40,Post-Graduate,$60K - $80K,Blue,18386.0,0.048,M
1481,1,Existing Customer,39,Graduate,Less than $40K,Blue,5634.0,0.365,F
1484,1,Existing Customer,32,Post-Graduate,$60K - $80K,Blue,5478.0,0.272,M
1485,1,Existing Customer,35,Post-Graduate,$80K - $120K,Blue,13046.0,0.09,M
1486,1,Existing Customer,39,Graduate,$40K - $60K,Blue,8687.0,0.132,M
1487,1,Existing Customer,53,Graduate,Less than $40K,Blue,6174.0,0.23,F
1488,1,Existing Customer,26,Graduate,$40K - $60K,Blue,5655.0,0.0,F
1489,1,Existing Customer,32,High School,$60K - $80K,Blue,5397.0,0.331,M
1490,1,Existing Customer,54,College,$120K +,Blue,28465.0,0.0,M
1491,1,Existing Customer,36,High School,Less than $40K,Blue,3444.0,0.7090000000000001,F
1492,1,Existing Customer,45,High School,Less than $40K,Blue,2104.0,0.602,F
1493,1,Existing Customer,49,Graduate,$80K - $120K,Blue,15610.0,0.131,M
1496,1,Existing Customer,64,Doctorate,Less than $40K,Blue,5462.0,0.341,F
1498,1,Existing Customer,31,Post-Graduate,$60K - $80K,Blue,2685.0,0.588,M
1499,1,Existing Customer,49,Uneducated,$40K - $60K,Blue,5238.0,0.261,F
1500,1,Existing Customer,32,High School,Less than $40K,Blue,4561.0,0.445,F
1501,1,Existing Customer,53,High School,$120K +,Blue,13091.0,0.075,M
1505,1,Existing Customer,30,Graduate,Less than $40K,Blue,7087.0,0.15,F
1506,1,Existing Customer,34,Uneducated,$120K +,Blue,34516.0,0.073,M
1507,1,Existing Customer,41,Post-Graduate,$40K - $60K,Blue,10266.0,0.135,M
1509,1,Existing Customer,33,Uneducated,$40K - $60K,Blue,6732.0,0.0,F
1510,1,Existing Customer,56,High School,$120K +,Blue,12181.0,0.14,M
1511,1,Existing Customer,36,High School,$80K - $120K,Blue,7056.0,0.0,M
1512,1,Existing Customer,35,Graduate,$60K - $80K,Blue,14365.0,0.0,M
1513,1,Existing Customer,27,Graduate,$40K - $60K,Blue,11473.0,0.07200000000000001,M
1514,1,Existing Customer,46,High School,$60K - $80K,Blue,23996.0,0.105,M
1515,1,Existing Customer,48,Graduate,$60K - $80K,Blue,2998.0,0.597,M
1517,1,Existing Customer,38,Graduate,$60K - $80K,Blue,2405.0,0.6459999999999999,M
1518,1,Existing Customer,36,Post-Graduate,$80K - $120K,Blue,21927.0,0.059000000000000004,M
1519,1,Existing Customer,56,High School,$80K - $120K,Blue,3906.0,0.474,M
1520,1,Existing Customer,32,Doctorate,$60K - $80K,Blue,10029.0,0.06,M
1521,1,Existing Customer,36,Doctorate,$60K - $80K,Blue,4934.0,0.305,M
1522,1,Existing Customer,35,High School,Less than $40K,Silver,13882.0,0.105,F
1524,1,Existing Customer,32,High School,$60K - $80K,Blue,4116.0,0.297,M
1525,1,Existing Customer,56,High School,$40K - $60K,Blue,13904.0,0.045,F
1528,1,Existing Customer,37,Uneducated,Less than $40K,Blue,2509.0,0.456,F
1529,1,Existing Customer,38,Graduate,Less than $40K,Blue,2484.0,0.865,F
1530,1,Existing Customer,35,College,$60K - $80K,Blue,2780.0,0.0,M
1532,1,Existing Customer,48,Doctorate,$80K - $120K,Blue,18102.0,0.076,M
1533,1,Existing Customer,29,Graduate,$40K - $60K,Blue,4532.0,0.0,M
1534,1,Existing Customer,33,Graduate,$80K - $120K,Blue,22399.0,0.064,M
1535,1,Existing Customer,39,High School,$40K - $60K,Blue,4489.0,0.556,F
1538,1,Existing Customer,27,High School,Less than $40K,Blue,1864.0,0.742,F
1540,1,Existing Customer,31,Graduate,$40K - $60K,Blue,1935.0,0.534,M
1541,1,Existing Customer,45,Graduate,$60K - $80K,Blue,6784.0,0.131,M
1542,1,Existing Customer,35,High School,$60K - $80K,Blue,19127.0,0.098,M
1543,1,Existing Customer,55,College,$120K +,Blue,32641.0,0.048,M
1544,1,Existing Customer,61,Uneducated,$40K - $60K,Blue,1438.3,0.589,M
1545,1,Existing Customer,37,Graduate,Less than $40K,Blue,2417.0,0.7979999999999999,F
1549,1,Existing Customer,47,College,$120K +,Blue,17603.0,0.06,M
1550,1,Existing Customer,55,Graduate,$40K - $60K,Blue,2894.0,0.718,F
1551,1,Existing Customer,37,Post-Graduate,$80K - $120K,Blue,16730.0,0.11699999999999999,M
1552,1,Existing Customer,36,College,Less than $40K,Blue,3282.0,0.562,F
1554,1,Existing Customer,26,High School,$60K - $80K,Blue,1672.0,0.5720000000000001,M
1555,1,Existing Customer,45,Graduate,Less than $40K,Blue,8121.0,0.196,F
1557,1,Existing Customer,60,Post-Graduate,$60K - $80K,Blue,3182.0,0.606,M
1558,1,Attrited Customer,30,Post-Graduate,Less than $40K,Blue,5061.0,0.0,M
1559,1,Existing Customer,39,High School,$60K - $80K,Blue,6224.0,0.305,M
1561,1,Existing Customer,48,College,Less than $40K,Blue,2464.0,0.758,F
1562,1,Existing Customer,39,Graduate,$60K - $80K,Blue,3477.0,0.539,M
1563,1,Existing Customer,38,Graduate,$80K - $120K,Blue,3242.0,0.64,M
1564,1,Existing Customer,47,High School,$120K +,Blue,27858.0,0.047,M
1565,1,Existing Customer,26,Graduate,Less than $40K,Blue,1438.3,0.344,M
1566,0,Existing Customer,49,College,$120K +,Blue,34516.0,0.0,M
1567,1,Existing Customer,38,High School,$80K - $120K,Blue,6361.0,0.109,M
1568,1,Existing Customer,30,Graduate,Less than $40K,Blue,2490.0,0.0,M
1569,1,Existing Customer,53,High School,$120K +,Blue,14057.0,0.11800000000000001,M
1571,1,Existing Customer,35,Uneducated,$60K - $80K,Blue,7766.0,0.165,M
1572,1,Existing Customer,40,Uneducated,$40K - $60K,Silver,21308.0,0.026000000000000002,M
1573,1,Existing Customer,30,High School,$60K - $80K,Blue,4516.0,0.499,M
1574,1,Existing Customer,42,College,$40K - $60K,Blue,5424.0,0.33399999999999996,F
1575,1,Existing Customer,62,Graduate,Less than $40K,Blue,1764.0,0.873,F
1576,0,Attrited Customer,50,Post-Graduate,$40K - $60K,Blue,1493.0,0.624,F
1577,1,Existing Customer,56,College,$120K +,Blue,17539.0,0.14400000000000002,M
1578,1,Existing Customer,45,Graduate,$80K - $120K,Silver,34516.0,0.0,M
1579,1,Existing Customer,35,Uneducated,Less than $40K,Blue,2149.0,0.52,F
1580,1,Existing Customer,57,Graduate,Less than $40K,Blue,6256.0,0.245,F
1582,0,Attrited Customer,43,Graduate,Less than $40K,Blue,4075.0,0.48700000000000004,F
1583,1,Existing Customer,53,Graduate,$80K - $120K,Blue,7290.0,0.295,M
1584,1,Existing Customer,50,College,$60K - $80K,Blue,5965.0,0.115,M
1585,1,Existing Customer,30,High School,$120K +,Blue,9007.0,0.218,M
1586,1,Existing Customer,37,Graduate,Less than $40K,Blue,6077.0,0.23,F
1587,1,Existing Customer,37,Doctorate,$40K - $60K,Blue,1808.0,0.5579999999999999,M
1588,1,Existing Customer,45,Graduate,$80K - $120K,Blue,12810.0,0.0,M
1590,1,Existing Customer,63,College,$40K - $60K,Blue,3118.0,0.49,F
1591,1,Existing Customer,43,Graduate,$60K - $80K,Blue,20013.0,0.046,M
1594,1,Existing Customer,53,Graduate,$60K - $80K,Blue,1973.0,0.6709999999999999,M
1596,1,Existing Customer,36,High School,$60K - $80K,Blue,4108.0,0.40399999999999997,M
1597,1,Existing Customer,51,High School,$120K +,Blue,20741.0,0.121,M
1598,1,Existing Customer,36,Graduate,$80K - $120K,Blue,16335.0,0.055,M
1600,1,Existing Customer,34,Graduate,Less than $40K,Blue,5712.0,0.342,F
1601,1,Existing Customer,57,Doctorate,$60K - $80K,Blue,5335.0,0.226,M
1603,1,Existing Customer,29,Uneducated,$60K - $80K,Blue,8592.0,0.14,M
1604,1,Existing Customer,37,Post-Graduate,Less than $40K,Blue,1910.0,0.609,F
1605,1,Existing Customer,53,College,Less than $40K,Blue,6210.0,0.174,F
1606,1,Existing Customer,36,College,$40K - $60K,Blue,2220.0,0.602,M
1609,1,Existing Customer,53,Graduate,$60K - $80K,Blue,3539.0,0.711,M
1610,1,Existing Customer,52,Graduate,$120K +,Blue,9274.0,0.226,M
1611,1,Existing Customer,35,Uneducated,Less than $40K,Blue,3187.0,0.79,F
1612,0,Attrited Customer,37,Graduate,Less than $40K,Blue,2802.0,0.878,F
1613,1,Existing Customer,50,Uneducated,$60K - $80K,Blue,2334.0,0.303,M
1614,1,Existing Customer,65,Graduate,Less than $40K,Blue,1438.3,0.0,F
1617,1,Existing Customer,40,Graduate,$80K - $120K,Silver,34516.0,0.028999999999999998,M
1618,1,Existing Customer,39,High School,$60K - $80K,Blue,11906.0,0.171,M
1620,1,Existing Customer,36,Uneducated,$60K - $80K,Blue,2224.0,0.797,M
1621,1,Existing Customer,35,Graduate,$40K - $60K,Blue,3454.0,0.46399999999999997,F
1622,1,Existing Customer,37,High School,Less than $40K,Blue,5723.0,0.327,F
1624,1,Existing Customer,39,College,$80K - $120K,Blue,4061.0,0.43700000000000006,M
1625,1,Existing Customer,65,College,Less than $40K,Blue,4189.0,0.0,M
1627,1,Existing Customer,38,Graduate,Less than $40K,Blue,2228.0,0.7709999999999999,F
1628,0,Attrited Customer,36,Graduate,Less than $40K,Blue,3261.0,0.772,F
1629,1,Existing Customer,40,Graduate,Less than $40K,Blue,8014.0,0.175,F
1630,1,Existing Customer,35,College,$40K - $60K,Blue,10980.0,0.157,F
1631,1,Existing Customer,54,Post-Graduate,$120K +,Blue,3092.0,0.7,M
1632,1,Existing Customer,40,Graduate,$80K - $120K,Blue,14315.0,0.048,M
1633,1,Existing Customer,59,Uneducated,$40K - $60K,Blue,1648.0,0.605,M
1634,0,Attrited Customer,26,High School,$40K - $60K,Blue,1730.0,0.934,F
1635,1,Existing Customer,46,High School,$60K - $80K,Blue,13768.0,0.055,M
1637,1,Existing Customer,38,Graduate,$40K - $60K,Blue,1705.0,0.0,M
1638,1,Existing Customer,31,Graduate,$60K - $80K,Blue,8673.0,0.0,M
1639,1,Existing Customer,35,High School,$60K - $80K,Blue,6391.0,0.363,M
1640,1,Existing Customer,56,Uneducated,$80K - $120K,Blue,11102.0,0.175,M
1641,1,Existing Customer,34,College,$80K - $120K,Blue,24765.0,0.081,M
1642,1,Existing Customer,42,Doctorate,$80K - $120K,Blue,31864.0,0.0,M
1643,1,Existing Customer,29,College,$60K - $80K,Blue,5346.0,0.0,M
1644,1,Existing Customer,32,Graduate,$40K - $60K,Blue,2801.0,0.526,M
1645,1,Existing Customer,37,High School,Less than $40K,Blue,3148.0,0.0,F
1648,1,Existing Customer,38,Graduate,$80K - $120K,Blue,7535.0,0.33399999999999996,M
1649,0,Attrited Customer,52,High School,$60K - $80K,Silver,33180.0,0.015,M
1650,1,Existing Customer,62,Graduate,Less than $40K,Blue,2986.0,0.547,F
1652,1,Existing Customer,36,Graduate,$60K - $80K,Blue,2601.0,0.6990000000000001,M
1653,1,Existing Customer,54,College,$80K - $120K,Blue,3380.0,0.49,M
1654,1,Existing Customer,27,High School,$60K - $80K,Blue,2730.0,0.495,M
1655,1,Attrited Customer,26,High School,$40K - $60K,Blue,3324.0,0.0,M
1656,1,Existing Customer,56,Graduate,Less than $40K,Blue,2665.0,0.6920000000000001,F
1657,1,Existing Customer,60,Graduate,$40K - $60K,Blue,5015.0,0.409,F
1658,1,Existing Customer,54,Graduate,$60K - $80K,Blue,6905.0,0.33399999999999996,M
1660,1,Existing Customer,33,College,$80K - $120K,Blue,19136.0,0.084,M
1662,1,Existing Customer,35,Graduate,$60K - $80K,Blue,7453.0,0.0,M
1664,1,Existing Customer,29,College,Less than $40K,Blue,4945.0,0.0,F
1665,1,Attrited Customer,33,Graduate,$120K +,Blue,27992.0,0.0,M
1666,1,Existing Customer,34,Graduate,$40K - $60K,Blue,3735.0,0.344,M
1668,1,Existing Customer,38,High School,$80K - $120K,Blue,6162.0,0.153,M
1669,1,Existing Customer,42,High School,$60K - $80K,Blue,3337.0,0.23800000000000002,M
1670,1,Existing Customer,55,Graduate,$40K - $60K,Blue,2205.0,0.606,M
1671,1,Existing Customer,62,High School,$40K - $60K,Blue,4450.0,0.324,M
1674,1,Existing Customer,39,Uneducated,$40K - $60K,Blue,4323.0,0.293,M
1675,1,Existing Customer,56,College,$80K - $120K,Blue,4145.0,0.354,M
1676,1,Existing Customer,36,Graduate,Less than $40K,Blue,2032.0,0.494,M
1677,1,Existing Customer,29,College,$80K - $120K,Blue,7010.0,0.3,M
1678,1,Existing Customer,57,High School,$120K +,Blue,3205.0,0.47700000000000004,M
1680,1,Existing Customer,51,Graduate,$40K - $60K,Blue,5930.0,0.0,F
1682,1,Existing Customer,56,Graduate,Less than $40K,Blue,2235.0,0.0,F
1683,1,Existing Customer,26,College,$40K - $60K,Blue,2047.0,0.584,M
1685,1,Existing Customer,53,Graduate,$40K - $60K,Blue,2636.0,0.894,F
1686,1,Existing Customer,41,Graduate,$40K - $60K,Blue,6425.0,0.142,M
1687,1,Existing Customer,26,Post-Graduate,Less than $40K,Blue,2902.0,0.575,F
1688,1,Existing Customer,51,College,Less than $40K,Blue,4002.0,0.41700000000000004,F
1689,1,Existing Customer,34,Graduate,$60K - $80K,Blue,5175.0,0.18899999999999997,M
1691,1,Existing Customer,52,High School,$80K - $120K,Blue,31258.0,0.049,M
1692,1,Existing Customer,54,Graduate,Less than $40K,Blue,2683.0,0.623,F
1693,0,Attrited Customer,37,College,$80K - $120K,Blue,11638.0,0.08,M
1695,1,Existing Customer,55,Doctorate,$80K - $120K,Blue,8276.0,0.20199999999999999,M
1697,1,Existing Customer,37,High School,Less than $40K,Blue,2352.0,0.0,F
1698,1,Existing Customer,30,Graduate,$60K - $80K,Blue,11371.0,0.08900000000000001,M
1700,1,Existing Customer,36,Graduate,$80K - $120K,Silver,34516.0,0.045,M
1701,1,Existing Customer,39,Graduate,$40K - $60K,Blue,6690.0,0.282,M
1702,1,Existing Customer,34,Graduate,Less than $40K,Blue,4439.0,0.19,M
1703,1,Existing Customer,47,High School,$60K - $80K,Blue,5344.0,0.29600000000000004,M
1704,1,Existing Customer,42,High School,$80K - $120K,Blue,27310.0,0.0,M
1705,1,Existing Customer,61,Graduate,$40K - $60K,Blue,2531.0,0.932,M
1706,1,Existing Customer,31,College,$40K - $60K,Blue,9096.0,0.0,M
1707,0,Attrited Customer,40,College,$80K - $120K,Silver,34516.0,0.0,M
1709,1,Existing Customer,54,Graduate,Less than $40K,Blue,5399.0,0.319,F
1711,1,Existing Customer,31,Graduate,Less than $40K,Blue,6315.0,0.207,F
1715,1,Existing Customer,38,Graduate,$80K - $120K,Blue,3946.0,0.602,M
1716,1,Existing Customer,57,Uneducated,$40K - $60K,Blue,12291.0,0.18600000000000003,M
1717,1,Existing Customer,63,Graduate,$40K - $60K,Blue,3067.0,0.611,F
1718,1,Existing Customer,42,Post-Graduate,Less than $40K,Blue,1438.3,0.469,F
1719,1,Existing Customer,61,Doctorate,$40K - $60K,Blue,8633.0,0.292,F
1721,0,Attrited Customer,61,Graduate,$120K +,Blue,11374.0,0.221,M
1722,1,Existing Customer,35,College,$60K - $80K,Blue,6921.0,0.312,M
1723,1,Existing Customer,57,Graduate,$80K - $120K,Blue,2564.0,0.9279999999999999,M
1727,1,Existing Customer,53,Graduate,$80K - $120K,Blue,1826.0,0.484,M
1729,1,Existing Customer,35,Graduate,Less than $40K,Blue,2926.0,0.46,F
1730,1,Existing Customer,47,High School,$40K - $60K,Blue,7061.0,0.257,F
1732,1,Existing Customer,38,Graduate,$80K - $120K,Blue,9620.0,0.21100000000000002,M
1733,1,Existing Customer,26,High School,Less than $40K,Blue,2539.0,0.852,F
